product_id,category,price,brand
1,home,1576.77,"BrandB"
2,beauty,1521.11,"BrandC"
3,fashion,3729.01,"BrandA"
4,electronics,4605.09,"BrandC"
5,home,3751.03,"BrandB"
6,home,2558.91,"BrandA"
7,sports,807.5,"BrandA"
8,sports,1109.8,"BrandA"
9,beauty,2927.43,"BrandB"
10,electronics,2201.14,"BrandB"
11,fashion,4171.92,"BrandC"
12,electronics,1352.93,"BrandB"
13,home,4728.12,"BrandB"
14,beauty,4439.18,"BrandB"
15,fashion,1696.76,"BrandB"
16,beauty,3290.82,"BrandC"
17,fashion,3152.05,"BrandC"
18,sports,4247.1,"BrandC"
19,fashion,4118.27,"BrandB"
20,fashion,3386.5,"BrandC"
21,beauty,1874.08,"BrandA"
22,home,627.95,"BrandB"
23,sports,1237.91,"BrandA"
24,beauty,3783.73,"BrandC"
25,beauty,4013.17,"BrandB"
26,home,3748.63,"BrandA"
27,beauty,774.06,"BrandA"
28,beauty,3633.49,"BrandB"
29,electronics,3342.63,"BrandB"
30,fashion,3301.4,"BrandC"
31,electronics,325.62,"BrandA"
32,home,1746.24,"BrandA"
33,home,3429.81,"BrandA"
34,fashion,3393.89,"BrandC"
35,fashion,585.85,"BrandA"
36,fashion,3799.28,"BrandC"
37,fashion,1995.79,"BrandA"
38,sports,1052.72,"BrandC"
39,electronics,4834.82,"BrandC"
40,fashion,4569.82,"BrandA"
41,home,3016.21,"BrandA"
42,electronics,4172.64,"BrandC"
43,unknown,3652.35,"BrandB"
44,sports,669.11,"BrandC"
45,electronics,3953.48,"BrandC"
46,beauty,3719.72,"BrandB"
47,electronics,3919.53,"BrandA"
48,electronics,4268.85,"BrandC"
49,electronics,4356.51,"BrandB"
50,sports,2253.09,"BrandA"
51,fashion,3902.3,"BrandA"
52,beauty,431.1,"BrandA"
53,beauty,970.53,"BrandC"
54,sports,1593.96,"BrandA"
55,electronics,3958.75,"BrandB"
56,beauty,4997.15,"BrandA"
57,electronics,697.71,"BrandC"
58,beauty,4275.71,"BrandC"
59,electronics,3759.4,"BrandC"
60,sports,2247.07,"BrandA"
61,beauty,1866.86,"BrandC"
62,sports,1005,"BrandC"
63,beauty,3771.17,"BrandB"
64,beauty,3110.82,"BrandB"
65,electronics,1431.91,"BrandC"
66,beauty,496.26,"BrandC"
67,fashion,317.97,"BrandB"
68,home,1235.92,"BrandC"
69,fashion,3607.92,"BrandB"
70,fashion,1349.4,"BrandB"
71,sports,3131.36,"BrandB"
72,sports,2795.26,"BrandA"
73,sports,612.29,"BrandB"
74,electronics,3487.82,"BrandB"
75,electronics,833.12,"BrandA"
76,home,1287.62,"BrandB"
77,beauty,1675.66,"BrandA"
78,beauty,3530.98,"BrandC"
79,electronics,2825.21,"BrandA"
80,fashion,3017.2,"BrandC"
81,fashion,1408.35,"BrandB"
82,fashion,2008.25,"BrandC"
83,home,2853.78,"BrandA"
84,sports,1870.32,"BrandB"
85,home,1908.12,"BrandB"
86,electronics,626.1,"BrandB"
87,fashion,4136.76,"BrandA"
88,fashion,730.35,"BrandA"
89,electronics,2992.8,"BrandA"
90,sports,1359.68,"BrandA"
91,sports,1425.53,"BrandC"
92,home,1559.32,"BrandC"
93,home,2401.01,"BrandC"
94,electronics,3006.3,"BrandB"
95,electronics,3767.4,"BrandB"
96,beauty,2311.95,"BrandA"
97,fashion,3415.02,"BrandB"
98,home,3899.22,"BrandC"
99,sports,1695.31,"BrandC"
100,home,3708.61,"BrandC"
101,sports,1897.04,"BrandC"
102,home,4254.14,"BrandA"
103,sports,4026.16,"BrandB"
104,home,2732.74,"BrandB"
105,beauty,1421.86,"BrandB"
106,sports,3379.51,"BrandB"
107,sports,1689.14,"BrandC"
108,electronics,2662.1,"BrandA"
109,beauty,2795.8,"BrandB"
110,home,3570.9,"BrandA"
111,sports,4673.94,"BrandC"
112,beauty,3389.63,"BrandB"
113,beauty,4586.3,"BrandB"
114,sports,1578.27,"BrandB"
115,fashion,1126.13,"BrandA"
116,fashion,4698.75,"BrandC"
117,home,737.12,"BrandA"
118,fashion,903.18,"BrandB"
119,home,1294.2,"BrandC"
120,home,2593.83,"BrandB"
121,electronics,4535.42,"BrandB"
122,beauty,3513.62,"BrandC"
123,electronics,4259,"BrandB"
124,fashion,1439.05,"BrandA"
125,sports,4650.09,"BrandB"
126,beauty,4007.14,"BrandA"
127,electronics,4452.52,"BrandC"
128,fashion,2080.85,"BrandC"
129,electronics,4609.32,"BrandA"
130,electronics,2429.11,"BrandC"
131,electronics,1806.43,"BrandA"
132,fashion,3110.4,"BrandA"
133,fashion,1578.12,"BrandA"
134,unknown,3935.1,"BrandA"
135,sports,1252.14,"BrandA"
136,home,428.73,"BrandB"
137,beauty,3386.75,"BrandB"
138,beauty,1344.21,"BrandC"
139,electronics,3234.78,"BrandC"
140,sports,3771.91,"BrandC"
141,fashion,1945.31,"BrandA"
142,fashion,3906.44,"BrandC"
143,sports,2962.73,"BrandA"
144,home,1273.15,"BrandC"
145,electronics,4594.08,"BrandC"
146,beauty,4333.34,"BrandB"
147,electronics,3401.26,"BrandA"
148,home,3222.31,"BrandB"
149,fashion,4052.49,"BrandB"
150,fashion,466.23,"BrandB"
151,sports,4292.18,"BrandC"
152,fashion,3560.99,"BrandB"
153,beauty,2774.31,"BrandB"
154,sports,4600.91,"BrandA"
155,beauty,1290.44,"BrandB"
156,electronics,4362.69,"BrandC"
157,beauty,2882.71,"BrandA"
158,beauty,3365.78,"BrandC"
159,sports,3355.76,"BrandC"
160,fashion,3047.82,"BrandC"
161,fashion,3177.52,"BrandA"
162,fashion,1165.58,"BrandC"
163,sports,3080.03,"BrandC"
164,home,462.21,"BrandB"
165,sports,2871.31,"BrandC"
166,electronics,1162.29,"BrandC"
167,sports,2846.49,"BrandA"
168,electronics,1677.61,"BrandC"
169,sports,675.69,"BrandA"
170,fashion,4862.64,"BrandA"
171,electronics,3076.86,"BrandB"
172,home,4569.91,"BrandA"
173,home,3755.69,"BrandB"
174,home,1658.01,"BrandB"
175,fashion,4409.96,"BrandC"
176,beauty,3241.28,"BrandA"
177,fashion,3136.48,"BrandC"
178,electronics,3224.23,"BrandA"
179,fashion,584.52,"BrandB"
180,sports,571.78,"BrandA"
181,beauty,3075.89,"BrandB"
182,fashion,2962.46,"BrandC"
183,electronics,2315.09,"BrandB"
184,home,1356.19,"BrandB"
185,home,4519.72,"BrandB"
186,fashion,2926.63,"BrandB"
187,beauty,3362.03,"BrandC"
188,home,2922.7,"BrandA"
189,sports,1972.86,"BrandB"
190,sports,2367.76,"BrandA"
191,electronics,2297.45,"BrandB"
192,fashion,4505.14,"BrandA"
193,beauty,1883.46,"BrandC"
194,sports,2850.21,"BrandA"
195,sports,326.17,"BrandB"
196,beauty,2964.84,"BrandC"
197,home,2960.28,"BrandB"
198,sports,465.91,"BrandB"
199,beauty,4868.28,"BrandB"
200,beauty,1098.47,"BrandB"
201,home,1835.8,"BrandA"
202,electronics,4763.67,"BrandA"
203,beauty,3921.19,"BrandC"
204,electronics,3521.02,"BrandA"
205,beauty,2466.7,"BrandA"
206,unknown,4539.69,"BrandB"
207,beauty,1238.71,"BrandC"
208,sports,2219.81,"BrandC"
209,beauty,2101.54,"BrandA"
210,home,3197.18,"BrandA"
211,home,537.69,"BrandB"
212,home,4067.54,"BrandC"
213,home,614.29,"BrandC"
214,sports,4117.35,"BrandA"
215,electronics,741.52,"BrandC"
216,beauty,381.84,"BrandB"
217,sports,1132.16,"BrandB"
218,sports,2373.2,"BrandB"
219,beauty,3387.13,"BrandB"
220,electronics,3963.09,"BrandB"
221,sports,4815.96,"BrandA"
222,electronics,1241.04,"BrandC"
223,fashion,2192.4,"BrandC"
224,beauty,2686.38,"BrandC"
225,electronics,2120.59,"BrandC"
226,fashion,4831.7,"BrandB"
227,sports,3753.35,"BrandB"
228,beauty,3313.63,"BrandC"
229,home,3604.95,"BrandB"
230,sports,1128.33,"BrandC"
231,beauty,1912.9,"BrandB"
232,home,3688.79,"BrandB"
233,fashion,2125.69,"BrandC"
234,beauty,3677.06,"BrandA"
235,electronics,2527.37,"BrandB"
236,home,3656.99,"BrandC"
237,beauty,3554.25,"BrandB"
238,sports,1293.52,"BrandA"
239,fashion,795.78,"BrandC"
240,beauty,3785.75,"BrandA"
241,beauty,419.61,"BrandB"
242,electronics,3057.62,"BrandB"
243,beauty,3119.78,"BrandC"
244,sports,2108.56,"BrandC"
245,fashion,489.32,"BrandB"
246,fashion,2144.82,"BrandA"
247,electronics,4467.33,"BrandC"
248,sports,4178.8,"BrandB"
249,fashion,3224.48,"BrandC"
250,electronics,917.03,"BrandA"
251,electronics,2367.11,"BrandA"
252,home,4812.1,"BrandB"
253,fashion,1593.55,"BrandB"
254,sports,2300.14,"BrandC"
255,electronics,4351.22,"BrandB"
256,beauty,1715.52,"BrandA"
257,electronics,4129.8,"BrandB"
258,home,4270.31,"BrandB"
259,beauty,1760.64,"BrandA"
260,home,2254.23,"BrandB"
261,sports,1338.32,"BrandB"
262,sports,4622.13,"BrandC"
263,sports,3518.74,"BrandA"
264,home,4421.38,"BrandA"
265,fashion,1940.37,"BrandA"
266,beauty,2102.57,"BrandA"
267,beauty,3696.87,"BrandA"
268,sports,4218.51,"BrandB"
269,home,1539.13,"BrandB"
270,beauty,2785.77,"BrandA"
271,fashion,2063.42,"BrandB"
272,sports,2271.29,"BrandA"
273,electronics,4123.93,"BrandB"
274,electronics,4070.27,"BrandA"
275,electronics,1200.29,"BrandB"
276,fashion,349.93,"BrandC"
277,sports,372.05,"BrandC"
278,sports,4025.22,"BrandB"
279,electronics,3562.07,"BrandC"
280,sports,1676,"BrandC"
281,electronics,2178.34,"BrandC"
282,sports,3029.72,"BrandB"
283,sports,1524.16,"BrandC"
284,fashion,2396.09,"BrandC"
285,fashion,1685.32,"BrandC"
286,electronics,2668.14,"BrandB"
287,sports,2893.74,"BrandC"
288,sports,4157.04,"BrandB"
289,fashion,2867.75,"BrandC"
290,home,2123.51,"BrandA"
291,home,4606.78,"BrandB"
292,electronics,1015.11,"BrandC"
293,sports,4482.76,"BrandB"
294,fashion,1867.91,"BrandB"
295,beauty,2341.16,"BrandC"
296,electronics,3856.54,"BrandB"
297,beauty,3195.4,"BrandC"
298,electronics,3805.2,"BrandA"
299,sports,1034.77,"BrandC"
300,beauty,3028.39,"BrandB"
301,electronics,1352.93,"BrandB"
302,electronics,1806.43,"BrandA"
303,beauty,3386.75,"BrandB"
304,beauty,2686.38,"BrandC"
305,beauty,3313.63,"BrandC"
306,electronics,2527.37,"BrandB"
307,home,4812.1,"BrandB"
308,sports,2271.29,"BrandA"
309,fashion,1685.32,"BrandC"
